Day_of_Week,Time_of_Day,Weather,Mood,Social_Context,Location,Sleep_Hours,Work_Intensity,Temperature_Preference,Milk_Type,Sugar_Level,Caffeine_Strength,Cup_Size,Spend_Amount_USD,Coffee_Type
Friday,Evening,Cloudy,Tired,Alone,Home,6.7,High,Hot,Oat Milk,Low,Light,Small,4.62,Latte
Saturday,Night,Rainy,Stressed,Alone,Home,8.9,Medium,Iced,None (Black),Low,Medium,Medium,7.08,Decaf Latte
Tuesday,Evening,Rainy,Tired,Alone,Cafe,6.8,Medium,Iced,Almond Milk,None,Strong,Medium,6.12,Latte
Monday,Morning,Sunny,Tired,Alone,Home,4.4,Low,Iced,Oat Milk,Low,Medium,Medium,6.58,Espresso
Monday,Morning,Cloudy,Stressed,With Friends,Office,7.0,High,Hot,Oat Milk,Medium,Medium,Medium,6.86,Espresso
Friday,Morning,Cold/Snowy,Stressed,With Friends,On-the-Go,6.9,Medium,Iced,None (Black),High,Medium,Medium,7.36,Espresso
Friday,Afternoon,Cold/Snowy,Melancholic,Alone,Cafe,5.6,Low,Iced,Almond Milk,High,Medium,Medium,6.32,Espresso
Thursday,Morning,Rainy,Stressed,Alone,Cafe,7.4,Medium,Hot,Oat Milk,Low,Medium,Medium,5.54,Espresso
Tuesday,Morning,Sunny,Stressed,Alone,Home,4.0,Medium,Hot,Oat Milk,Medium,Light,Small,4.33,Americano
Wednesday,Evening,Sunny,Energetic,Alone,Home,8.0,Medium,Hot,None (Black),None,Medium,Small,3.41,Cold Brew
Friday,Morning,Cloudy,Tired,Alone,On-the-Go,5.2,High,Hot,None (Black),Medium,Medium,Medium,5.93,Americano
Thursday,Evening,Cloudy,Tired,Alone,Cafe,5.0,Medium,Iced,Almond Milk,None,Decaf,Small,7.47,Cappuccino
Sunday,Morning,Rainy,Energetic,On a Date,Office,6.3,High,Hot,Whole Milk,None,Medium,Medium,4.84,Cold Brew
Monday,Morning,Sunny,Stressed,With Colleague,Cafe,7.1,Medium,Hot,Whole Milk,Medium,Strong,Medium,6.12,Espresso
Friday,Morning,Rainy,Energetic,Alone,Office,6.7,Medium,Hot,Oat Milk,Low,Medium,Medium,4.98,Latte
Wednesday,Afternoon,Rainy,Stressed,Alone,Home,5.4,High,Hot,None (Black),None,Strong,Medium,4.66,Latte
Wednesday,Morning,Cold/Snowy,Energetic,Alone,Cafe,5.7,High,Hot,Whole Milk,Medium,Light,Large,4.55,Flat White
Friday,Morning,Rainy,Tired,With Colleague,Cafe,4.8,Low,Iced,Whole Milk,Low,Medium,Medium,5.02,Espresso
Friday,Night,Sunny,Tired,Alone,Office,6.2,Low,Hot,None (Black),None,Light,Small,4.33,Macchiato
Sunday,Morning,Rainy,Relaxed,Alone,On-the-Go,8.1,Medium,Hot,None (Black),None,Medium,Medium,6.24,Cappuccino
Monday,Afternoon,Sunny,Stressed,With Friends,Office,6.5,Medium,Hot,None (Black),None,Medium,Medium,6.87,Frappuccino
Monday,Afternoon,Cold/Snowy,Relaxed,Alone,Home,7.8,Medium,Hot,None (Black),None,Medium,Medium,6.91,Flat White
Friday,Morning,Sunny,Tired,Alone,On-the-Go,8.7,High,Hot,Whole Milk,Medium,Strong,Medium,3.64,Americano
Thursday,Afternoon,Rainy,Melancholic,Alone,Cafe,5.6,Low,Hot,Almond Milk,Low,Medium,Small,6.98,Americano
Tuesday,Morning,Sunny,Tired,Alone,Office,6.2,Medium,Hot,Whole Milk,Medium,Medium,Medium,4.21,Americano
Monday,Afternoon,Cloudy,Tired,Alone,Home,9.8,Low,Hot,None (Black),None,Strong,Medium,4.05,Flat White
Monday,Morning,Cloudy,Melancholic,Alone,Home,8.7,High,Hot,None (Black),Low,Medium,Medium,6.13,Cappuccino
Sunday,Afternoon,Cloudy,Tired,Alone,Cafe,4.0,High,Hot,Oat Milk,Medium,Light,Large,4.02,Cappuccino
Tuesday,Morning,Sunny,Stressed,Alone,Office,7.1,Medium,Iced,Almond Milk,Medium,Light,Medium,2.76,Americano
Wednesday,Afternoon,Sunny,Tired,With Colleague,Cafe,6.5,Low,Hot,None (Black),Medium,Medium,Small,4.37,Iced Latte
Tuesday,Morning,Sunny,Stressed,Alone,On-the-Go,7.7,High,Iced,None (Black),High,Medium,Medium,6.11,Americano
Wednesday,Morning,Cloudy,Melancholic,Alone,Cafe,5.4,Medium,Hot,Whole Milk,None,Decaf,Small,4.13,Latte
Monday,Morning,Sunny,Tired,With Friends,Office,5.2,Medium,Hot,Oat Milk,Low,Light,Medium,5.65,Espresso
Thursday,Morning,Rainy,Stressed,With Colleague,Cafe,5.5,High,Iced,Whole Milk,Medium,Light,Medium,5.8,Espresso
Monday,Evening,Cold/Snowy,Tired,With Colleague,Office,5.6,High,Hot,Whole Milk,None,Medium,Large,6.17,Cappuccino
Saturday,Morning,Cold/Snowy,Stressed,Alone,Home,7.7,Medium,Hot,Whole Milk,None,Light,Medium,6.99,Espresso
Tuesday,Evening,Rainy,Tired,Alone,Home,4.7,Medium,Hot,Almond Milk,None,Light,Medium,4.66,Cold Brew
Thursday,Night,Rainy,Tired,With Friends,Office,5.6,Medium,Iced,None (Black),Medium,Medium,Small,3.33,Decaf Latte
Sunday,Afternoon,Sunny,Tired,With Friends,On-the-Go,3.8,Medium,Hot,Almond Milk,None,Strong,Small,4.09,Frappuccino
Friday,Morning,Cloudy,Tired,Alone,Home,8.0,Medium,Hot,Whole Milk,None,Medium,Small,4.66,Americano
Thursday,Morning,Cloudy,Melancholic,With Colleague,Home,8.4,Medium,Hot,Whole Milk,Low,Medium,Medium,6.07,Americano
Wednesday,Afternoon,Sunny,Energetic,Alone,On-the-Go,6.0,Low,Iced,Whole Milk,Medium,Light,Small,2.57,Latte
Wednesday,Morning,Rainy,Tired,On a Date,Home,6.1,Medium,Hot,Whole Milk,None,Strong,Large,4.08,Espresso
Friday,Morning,Cloudy,Energetic,With Colleague,Cafe,7.2,Low,Hot,Whole Milk,Low,Medium,Medium,6.4,Americano
Sunday,Afternoon,Cold/Snowy,Tired,With Friends,Office,8.7,Medium,Hot,Whole Milk,Medium,Strong,Medium,5.85,Latte
Friday,Evening,Sunny,Stressed,On a Date,Home,7.1,Medium,Iced,None (Black),High,Strong,Medium,6.16,Americano
Thursday,Afternoon,Rainy,Melancholic,With Friends,On-the-Go,5.5,Medium,Hot,Whole Milk,Medium,Strong,Medium,6.56,Flat White
Friday,Morning,Sunny,Energetic,Alone,Home,4.1,Medium,Hot,Whole Milk,Medium,Decaf,Medium,6.42,Latte
Thursday,Afternoon,Sunny,Relaxed,Alone,Office,4.8,Medium,Iced,None (Black),Low,Medium,Medium,5.91,Americano
Monday,Morning,Cold/Snowy,Stressed,Alone,Home,6.6,High,Hot,Almond Milk,None,Light,Medium,4.7,Americano
Thursday,Morning,Cloudy,Tired,Alone,Home,5.5,Medium,Hot,None (Black),Low,Strong,Large,7.42,Americano
Sunday,Evening,Cloudy,Stressed,With Friends,Home,6.8,High,Iced,Whole Milk,Medium,Strong,Medium,5.35,Cold Brew
Tuesday,Morning,Sunny,Energetic,Alone,Home,5.7,Medium,Iced,None (Black),Low,Strong,Medium,3.51,Cold Brew
Friday,Morning,Cloudy,Stressed,Alone,Home,4.9,Medium,Hot,Whole Milk,Medium,Medium,Medium,3.96,Espresso
Tuesday,Morning,Rainy,Relaxed,With Friends,Cafe,4.7,Low,Hot,None (Black),High,Medium,Small,5.97,Flat White
Thursday,Evening,Sunny,Energetic,With Colleague,Office,8.8,Medium,Hot,Whole Milk,None,Medium,Small,7.12,Flat White
Monday,Afternoon,Rainy,Melancholic,Alone,Office,7.8,High,Iced,None (Black),None,Medium,Small,3.39,Americano
Thursday,Afternoon,Sunny,Relaxed,Alone,Office,9.1,High,Iced,None (Black),None,Medium,Medium,2.91,Cappuccino
Saturday,Afternoon,Cloudy,Energetic,Alone,On-the-Go,7.3,High,Hot,Oat Milk,Low,Medium,Medium,6.91,Cappuccino
Wednesday,Morning,Rainy,Stressed,With Friends,On-the-Go,5.9,Medium,Iced,Whole Milk,None,Strong,Medium,7.08,Espresso
Friday,Morning,Sunny,Tired,Alone,Cafe,8.5,Medium,Iced,None (Black),Medium,Medium,Medium,3.88,Espresso
Saturday,Morning,Sunny,Melancholic,With Friends,On-the-Go,6.5,Medium,Hot,None (Black),None,Strong,Small,4.39,Americano
Sunday,Morning,Sunny,Stressed,Alone,Office,6.8,Medium,Hot,Oat Milk,Low,Strong,Medium,5.8,Espresso
Tuesday,Morning,Sunny,Tired,Alone,Office,6.4,Low,Hot,None (Black),None,Medium,Medium,4.15,Espresso
Wednesday,Evening,Rainy,Tired,On a Date,Office,3.0,High,Hot,Almond Milk,High,Medium,Medium,6.89,Latte
Tuesday,Morning,Cloudy,Stressed,Alone,Office,8.9,High,Iced,Whole Milk,Medium,Medium,Medium,3.04,Americano
Sunday,Morning,Sunny,Tired,Alone,Office,7.2,Medium,Iced,None (Black),High,Medium,Medium,2.69,Espresso
Sunday,Morning,Sunny,Tired,Alone,Office,7.0,Medium,Hot,Whole Milk,High,Light,Small,3.54,Espresso
Thursday,Morning,Rainy,Energetic,Alone,On-the-Go,6.4,Low,Hot,Oat Milk,Low,Medium,Medium,3.93,Americano
Saturday,Evening,Cloudy,Tired,Alone,Cafe,6.7,Medium,Hot,Whole Milk,None,Strong,Medium,3.06,Cappuccino
Thursday,Morning,Sunny,Energetic,Alone,Office,5.6,Medium,Iced,Whole Milk,None,Decaf,Medium,2.83,Latte
Friday,Morning,Sunny,Tired,Alone,Cafe,7.4,High,Hot,Whole Milk,None,Medium,Medium,6.28,Espresso
Monday,Afternoon,Rainy,Tired,Alone,Home,4.5,Medium,Hot,Almond Milk,Medium,Strong,Large,3.32,Espresso
Saturday,Morning,Sunny,Stressed,With Friends,Home,6.8,Medium,Hot,Whole Milk,None,Medium,Medium,7.07,Americano
Monday,Morning,Sunny,Energetic,With Colleague,Office,7.3,Medium,Hot,None (Black),None,Medium,Medium,4.34,Cappuccino
Saturday,Morning,Cloudy,Tired,Alone,Office,6.2,Low,Hot,None (Black),Medium,Medium,Medium,5.85,Espresso
Saturday,Afternoon,Rainy,Tired,With Friends,Home,7.1,High,Iced,None (Black),Medium,Medium,Large,3.63,Americano
Friday,Night,Rainy,Stressed,Alone,Cafe,5.0,Medium,Hot,None (Black),Medium,Light,Medium,3.7,Macchiato
Monday,Afternoon,Cloudy,Tired,Alone,Office,5.1,High,Hot,None (Black),Low,Strong,Small,5.37,Americano
Wednesday,Morning,Cloudy,Tired,Alone,Office,6.9,Medium,Hot,Whole Milk,Medium,Medium,Large,5.3,Americano
Tuesday,Evening,Sunny,Tired,Alone,Home,7.5,Medium,Hot,None (Black),Low,Medium,Medium,6.34,Americano
Wednesday,Morning,Sunny,Relaxed,Alone,Home,3.7,Low,Hot,Whole Milk,None,Medium,Medium,6.29,Espresso
Monday,Morning,Sunny,Relaxed,Alone,On-the-Go,7.3,Medium,Hot,Whole Milk,Medium,Light,Large,5.85,Cold Brew
Sunday,Morning,Sunny,Relaxed,With Friends,Office,5.7,High,Iced,None (Black),High,Strong,Medium,4.75,Espresso
Thursday,Morning,Cloudy,Stressed,On a Date,On-the-Go,6.2,High,Hot,None (Black),None,Strong,Medium,6.95,Americano
Wednesday,Afternoon,Cold/Snowy,Stressed,Alone,On-the-Go,4.5,High,Hot,None (Black),Low,Light,Medium,5.61,Cappuccino
Wednesday,Afternoon,Cold/Snowy,Energetic,With Friends,Office,5.2,Low,Hot,None (Black),Low,Strong,Medium,7.45,Flat White
Wednesday,Evening,Rainy,Stressed,With Colleague,Home,7.9,High,Iced,Oat Milk,None,Medium,Medium,6.6,Americano
Friday,Afternoon,Sunny,Tired,With Friends,On-the-Go,6.5,High,Hot,Whole Milk,Medium,Medium,Medium,2.72,Frappuccino
Thursday,Afternoon,Sunny,Stressed,Alone,On-the-Go,5.9,Low,Iced,None (Black),None,Medium,Medium,4.1,Latte
Sunday,Morning,Cloudy,Relaxed,Alone,Office,6.3,High,Hot,Whole Milk,Medium,Light,Medium,5.36,Espresso
Thursday,Morning,Rainy,Energetic,Alone,Cafe,7.2,Medium,Hot,None (Black),Medium,Medium,Large,6.11,Cold Brew
Sunday,Afternoon,Rainy,Energetic,Alone,Cafe,7.2,Medium,Hot,Whole Milk,Low,Light,Small,5.25,Latte
Saturday,Morning,Cloudy,Tired,With Friends,Office,6.4,Medium,Iced,Whole Milk,None,Medium,Medium,6.43,Americano
Tuesday,Evening,Cloudy,Stressed,Alone,Office,8.1,High,Hot,Whole Milk,None,Medium,Medium,3.91,Cold Brew
Sunday,Morning,Cloudy,Stressed,Alone,Cafe,8.0,Low,Hot,None (Black),None,Strong,Medium,3.42,Espresso
Monday,Morning,Sunny,Relaxed,With Friends,Cafe,7.1,Medium,Hot,None (Black),None,Medium,Medium,2.77,Cappuccino
Saturday,Morning,Cloudy,Tired,With Colleague,Home,6.6,Medium,Hot,Whole Milk,Low,Light,Small,5.37,Espresso
Wednesday,Morning,Cold/Snowy,Relaxed,Alone,Office,7.5,Medium,Hot,Oat Milk,Medium,Strong,Medium,5.94,Americano
Saturday,Morning,Sunny,Stressed,With Friends,Home,7.0,Medium,Hot,Almond Milk,Low,Medium,Medium,4.13,Espresso
Saturday,Afternoon,Rainy,Relaxed,Alone,Home,8.1,Low,Hot,None (Black),Medium,Medium,Medium,5.57,Latte
Saturday,Morning,Sunny,Energetic,Alone,On-the-Go,7.8,Medium,Hot,Whole Milk,Low,Light,Medium,2.76,Latte
Saturday,Afternoon,Cold/Snowy,Energetic,Alone,Home,5.0,High,Hot,Whole Milk,Medium,Strong,Medium,3.0,Cappuccino
Wednesday,Morning,Sunny,Stressed,With Friends,Home,4.9,High,Hot,Almond Milk,High,Strong,Medium,6.01,Espresso
Monday,Morning,Rainy,Stressed,On a Date,Office,5.4,High,Hot,None (Black),None,Strong,Medium,4.34,Americano
Wednesday,Morning,Sunny,Melancholic,Alone,Office,8.0,Medium,Hot,Whole Milk,Medium,Strong,Medium,5.86,Americano
Tuesday,Evening,Cloudy,Tired,Alone,Office,4.1,Medium,Hot,None (Black),Medium,Medium,Medium,6.66,Espresso
Friday,Morning,Sunny,Tired,Alone,Home,7.1,Medium,Hot,Whole Milk,Medium,Strong,Medium,6.76,Espresso
Wednesday,Afternoon,Sunny,Melancholic,Alone,Home,7.0,Low,Hot,Whole Milk,Medium,Medium,Medium,3.36,Americano
Sunday,Morning,Rainy,Energetic,Alone,Home,8.2,High,Hot,Oat Milk,Low,Light,Small,4.93,Cappuccino
Friday,Afternoon,Cold/Snowy,Stressed,Alone,Office,6.8,Low,Hot,Oat Milk,None,Medium,Large,6.17,Cold Brew
Saturday,Morning,Sunny,Energetic,With Colleague,Home,4.5,High,Hot,Whole Milk,None,Medium,Medium,6.37,Espresso
Monday,Afternoon,Sunny,Tired,With Friends,On-the-Go,5.1,Low,Hot,Whole Milk,Low,Medium,Medium,6.42,Frappuccino
Saturday,Afternoon,Cloudy,Relaxed,Alone,Office,4.7,High,Hot,None (Black),High,Decaf,Small,3.64,Latte
Sunday,Evening,Rainy,Stressed,Alone,Home,5.7,Low,Hot,Whole Milk,Medium,Light,Large,3.46,Espresso
Thursday,Morning,Cold/Snowy,Tired,Alone,Cafe,6.2,Low,Hot,Whole Milk,Low,Medium,Medium,5.45,Espresso
Friday,Morning,Sunny,Tired,Alone,Office,4.8,Medium,Hot,None (Black),Medium,Light,Large,6.21,Americano
Saturday,Morning,Rainy,Relaxed,With Colleague,Cafe,8.7,Medium,Hot,Oat Milk,Medium,Light,Large,4.1,Flat White
Tuesday,Evening,Sunny,Tired,On a Date,Home,4.5,Medium,Iced,None (Black),None,Medium,Large,3.02,Americano
Thursday,Afternoon,Sunny,Relaxed,Alone,Office,8.5,Medium,Hot,Whole Milk,None,Strong,Large,6.08,Latte
Wednesday,Afternoon,Cloudy,Tired,Alone,Cafe,8.3,Low,Iced,Oat Milk,None,Strong,Small,4.0,Espresso
Monday,Morning,Rainy,Stressed,With Colleague,On-the-Go,7.8,High,Hot,Almond Milk,Medium,Medium,Large,3.33,Espresso
Wednesday,Morning,Cloudy,Melancholic,Alone,Home,5.5,Medium,Iced,Oat Milk,Medium,Strong,Small,3.24,Latte
Monday,Morning,Sunny,Stressed,With Friends,Office,7.0,Medium,Hot,None (Black),None,Medium,Large,4.07,Espresso
Monday,Night,Rainy,Energetic,Alone,Office,4.6,Medium,Iced,Oat Milk,None,Medium,Medium,5.46,Macchiato
Monday,Afternoon,Rainy,Stressed,With Friends,On-the-Go,7.9,Medium,Hot,None (Black),Medium,Medium,Medium,4.29,Cappuccino
Sunday,Evening,Cold/Snowy,Tired,Alone,On-the-Go,6.4,Medium,Hot,Almond Milk,High,Medium,Small,2.6,Cold Brew
Thursday,Morning,Sunny,Tired,With Colleague,Home,5.9,Low,Hot,Whole Milk,Medium,Light,Medium,2.98,Americano
Sunday,Afternoon,Sunny,Melancholic,With Colleague,Home,4.7,Medium,Iced,Oat Milk,Medium,Medium,Small,3.95,Frappuccino
Wednesday,Afternoon,Sunny,Relaxed,Alone,Office,3.0,Medium,Iced,None (Black),None,Medium,Medium,5.8,Cold Brew
Wednesday,Morning,Rainy,Stressed,With Friends,Home,4.9,Medium,Hot,Whole Milk,Low,Medium,Large,2.99,Americano
Thursday,Evening,Sunny,Energetic,With Colleague,Office,8.2,Medium,Hot,Oat Milk,None,Strong,Medium,5.3,Cappuccino
Wednesday,Evening,Cold/Snowy,Tired,Alone,Home,5.9,Medium,Hot,Oat Milk,Medium,Medium,Small,3.1,Latte
Monday,Evening,Sunny,Tired,Alone,Office,6.2,Low,Hot,None (Black),Low,Medium,Medium,3.56,Americano
Friday,Afternoon,Cold/Snowy,Stressed,Alone,On-the-Go,7.5,Medium,Hot,Almond Milk,Medium,Medium,Small,3.36,Americano
Tuesday,Morning,Sunny,Relaxed,Alone,On-the-Go,9.2,Medium,Iced,None (Black),Low,Strong,Medium,2.84,Latte
Friday,Morning,Cloudy,Energetic,Alone,Office,8.5,Low,Hot,Whole Milk,Medium,Medium,Large,5.86,Espresso
Friday,Night,Cold/Snowy,Relaxed,With Friends,Office,5.0,Low,Hot,Whole Milk,Low,Strong,Medium,4.82,Decaf Latte
Tuesday,Morning,Sunny,Tired,Alone,On-the-Go,3.6,Low,Hot,None (Black),Low,Strong,Medium,6.66,Americano
Monday,Afternoon,Cold/Snowy,Energetic,With Colleague,Home,10.0,High,Hot,None (Black),Medium,Medium,Medium,2.99,Americano
Saturday,Afternoon,Rainy,Tired,Alone,Cafe,9.9,Medium,Hot,Oat Milk,None,Medium,Large,3.22,Americano
Thursday,Afternoon,Cold/Snowy,Energetic,Alone,Office,6.8,Low,Hot,Whole Milk,High,Light,Medium,4.03,Cappuccino
Monday,Night,Cloudy,Tired,Alone,Home,4.6,Low,Hot,None (Black),Low,Strong,Medium,6.33,Decaf Latte
Sunday,Morning,Sunny,Melancholic,Alone,Office,7.9,Medium,Hot,Oat Milk,Low,Light,Medium,4.03,Flat White
Monday,Morning,Sunny,Tired,Alone,Home,6.3,Medium,Hot,Oat Milk,Medium,Medium,Medium,4.54,Espresso
Friday,Morning,Sunny,Melancholic,Alone,Cafe,6.3,High,Hot,Whole Milk,Medium,Medium,Large,4.01,Cappuccino
Sunday,Morning,Sunny,Energetic,Alone,Home,7.8,High,Iced,None (Black),Low,Medium,Medium,2.9,Espresso
Tuesday,Morning,Sunny,Melancholic,With Friends,Office,7.0,Medium,Hot,None (Black),High,Medium,Medium,7.2,Cappuccino
Monday,Morning,Sunny,Stressed,With Colleague,Home,4.7,Low,Iced,Whole Milk,None,Strong,Medium,5.24,Espresso
Monday,Evening,Rainy,Melancholic,Alone,On-the-Go,6.0,High,Hot,Whole Milk,None,Medium,Medium,6.44,Cappuccino
Wednesday,Evening,Cloudy,Tired,With Friends,Office,7.5,High,Hot,Whole Milk,Low,Strong,Medium,5.79,Latte
Monday,Morning,Sunny,Stressed,With Friends,Office,7.3,Medium,Hot,Oat Milk,Low,Medium,Medium,5.07,Espresso
Friday,Morning,Sunny,Melancholic,Alone,Office,6.9,Medium,Iced,Whole Milk,Low,Light,Small,2.95,Cold Brew
Monday,Evening,Rainy,Tired,On a Date,Office,7.9,Medium,Iced,None (Black),Low,Light,Large,5.71,Americano
Thursday,Morning,Sunny,Tired,With Colleague,Home,6.0,Medium,Hot,Almond Milk,Low,Medium,Small,3.28,Espresso
Sunday,Morning,Sunny,Energetic,Alone,Cafe,6.8,Medium,Hot,Whole Milk,Medium,Light,Small,4.57,Cappuccino
Saturday,Morning,Sunny,Melancholic,Alone,Home,3.0,High,Iced,Whole Milk,Low,Medium,Medium,5.65,Latte
Friday,Afternoon,Cold/Snowy,Energetic,Alone,Home,5.8,Medium,Hot,Almond Milk,High,Light,Small,6.41,Flat White
Wednesday,Morning,Cloudy,Energetic,Alone,Cafe,7.6,High,Hot,Almond Milk,Medium,Medium,Medium,5.93,Cappuccino
Friday,Night,Sunny,Tired,With Friends,Home,5.9,Low,Hot,Whole Milk,None,Medium,Medium,5.86,Macchiato
Thursday,Morning,Cloudy,Tired,Alone,Office,5.8,Low,Hot,None (Black),None,Medium,Medium,3.25,Espresso
Wednesday,Afternoon,Rainy,Relaxed,With Colleague,Office,4.9,Medium,Hot,Almond Milk,Low,Light,Large,4.23,Cold Brew
Monday,Morning,Cloudy,Tired,With Friends,Office,8.0,Low,Hot,Whole Milk,Medium,Medium,Medium,2.71,Espresso
Sunday,Morning,Cloudy,Stressed,With Friends,Cafe,7.3,Medium,Hot,Whole Milk,None,Medium,Small,6.1,Espresso
Wednesday,Afternoon,Rainy,Melancholic,With Friends,Office,7.7,Medium,Hot,Whole Milk,None,Light,Large,7.26,Latte
Tuesday,Afternoon,Sunny,Tired,Alone,Office,3.9,High,Hot,Whole Milk,High,Medium,Medium,3.82,Americano
Wednesday,Afternoon,Sunny,Stressed,Alone,Cafe,6.3,High,Hot,Oat Milk,Medium,Medium,Medium,2.94,Cappuccino
Wednesday,Afternoon,Rainy,Tired,With Friends,Home,6.1,Medium,Hot,Whole Milk,None,Light,Medium,4.88,Cappuccino
Saturday,Evening,Cold/Snowy,Stressed,Alone,Office,6.1,Low,Hot,Oat Milk,None,Medium,Medium,6.78,Cold Brew
Friday,Evening,Rainy,Tired,Alone,Office,5.6,Medium,Iced,Oat Milk,Medium,Medium,Large,5.26,Latte
Saturday,Afternoon,Cloudy,Stressed,With Colleague,Office,6.0,High,Iced,Oat Milk,Medium,Medium,Medium,2.73,Cappuccino
Monday,Morning,Cold/Snowy,Tired,With Friends,On-the-Go,7.8,Medium,Hot,Whole Milk,None,Medium,Medium,7.37,Americano
Wednesday,Morning,Sunny,Energetic,Alone,Cafe,3.6,Low,Iced,Oat Milk,Low,Medium,Medium,6.64,Americano
Thursday,Morning,Cloudy,Stressed,With Friends,Home,9.2,Low,Hot,Whole Milk,Medium,Medium,Medium,3.16,Americano
Monday,Afternoon,Cloudy,Tired,With Colleague,Home,7.2,Medium,Hot,None (Black),Medium,Strong,Medium,7.11,Cappuccino
Tuesday,Morning,Cold/Snowy,Stressed,Alone,Home,6.4,Low,Hot,Oat Milk,Medium,Light,Medium,4.75,Espresso
Saturday,Morning,Cold/Snowy,Tired,Alone,Home,7.9,High,Iced,Whole Milk,Low,Medium,Medium,4.36,Espresso
Monday,Evening,Cloudy,Stressed,On a Date,Home,4.3,High,Iced,None (Black),High,Medium,Medium,4.81,Flat White
Thursday,Evening,Sunny,Tired,Alone,Office,5.5,Medium,Hot,None (Black),Low,Medium,Medium,6.67,Cold Brew
Tuesday,Evening,Cloudy,Stressed,Alone,On-the-Go,6.3,Medium,Hot,None (Black),None,Medium,Medium,5.8,Flat White
Monday,Morning,Sunny,Tired,Alone,Cafe,8.5,Low,Hot,Oat Milk,Medium,Medium,Medium,2.8,Espresso
Tuesday,Afternoon,Cloudy,Energetic,With Colleague,Home,6.4,High,Hot,Whole Milk,Low,Medium,Small,7.29,Cold Brew
Sunday,Morning,Cold/Snowy,Tired,Alone,Office,7.2,Medium,Hot,None (Black),Medium,Medium,Medium,3.24,Espresso
Saturday,Morning,Sunny,Stressed,Alone,Office,5.6,Medium,Hot,Oat Milk,None,Strong,Medium,6.23,Espresso
Sunday,Morning,Rainy,Tired,Alone,Cafe,7.2,Medium,Iced,None (Black),Medium,Strong,Medium,5.68,Americano
Thursday,Morning,Rainy,Relaxed,On a Date,Cafe,9.0,Medium,Iced,Oat Milk,None,Medium,Large,3.44,Cappuccino
Monday,Morning,Rainy,Relaxed,Alone,On-the-Go,8.0,Medium,Hot,Whole Milk,Medium,Strong,Small,3.35,Latte
Thursday,Evening,Sunny,Tired,With Friends,Office,6.4,Medium,Hot,Whole Milk,None,Decaf,Medium,6.85,Cappuccino
Thursday,Morning,Cloudy,Stressed,With Colleague,Cafe,7.5,Medium,Iced,Whole Milk,Medium,Medium,Small,4.6,Americano
Saturday,Afternoon,Cold/Snowy,Tired,Alone,Home,7.4,Medium,Iced,None (Black),Medium,Light,Small,5.77,Cappuccino
Monday,Afternoon,Cold/Snowy,Energetic,On a Date,Office,7.3,Medium,Hot,Oat Milk,Low,Light,Medium,5.02,Cappuccino
Thursday,Morning,Sunny,Stressed,On a Date,Home,8.2,Low,Hot,None (Black),None,Medium,Large,6.14,Americano
Tuesday,Morning,Cold/Snowy,Stressed,With Colleague,Office,8.2,Medium,Iced,Almond Milk,Low,Medium,Medium,4.9,Espresso
Wednesday,Morning,Cloudy,Stressed,Alone,Office,6.3,Medium,Iced,Whole Milk,Medium,Medium,Medium,3.94,Espresso
Friday,Afternoon,Sunny,Tired,With Friends,Home,7.5,Medium,Hot,Whole Milk,Low,Medium,Small,4.32,Iced Latte
Thursday,Morning,Sunny,Energetic,With Colleague,Home,5.9,High,Hot,Whole Milk,None,Medium,Medium,6.8,Cold Brew
Wednesday,Morning,Sunny,Tired,On a Date,Home,5.1,Low,Hot,None (Black),None,Medium,Large,4.84,Espresso
Wednesday,Morning,Cold/Snowy,Stressed,Alone,Home,6.1,Low,Hot,Whole Milk,High,Medium,Medium,3.57,Americano
Thursday,Afternoon,Rainy,Energetic,With Colleague,Home,6.4,Low,Iced,Almond Milk,Low,Medium,Large,7.17,Latte
Saturday,Evening,Cloudy,Stressed,Alone,Home,4.0,Medium,Hot,None (Black),None,Medium,Large,6.48,Americano
Sunday,Morning,Sunny,Tired,Alone,Home,7.8,Medium,Iced,Whole Milk,Medium,Medium,Medium,2.78,Espresso
Sunday,Afternoon,Cloudy,Tired,Alone,Home,3.0,Medium,Hot,Whole Milk,Medium,Light,Medium,7.49,Cappuccino
Saturday,Afternoon,Sunny,Tired,With Colleague,On-the-Go,10.0,Low,Hot,Whole Milk,None,Light,Medium,5.97,Iced Latte
Wednesday,Evening,Sunny,Tired,Alone,Office,8.8,Medium,Hot,None (Black),High,Medium,Large,3.3,Flat White
Friday,Evening,Rainy,Tired,Alone,Home,6.1,High,Iced,Whole Milk,Medium,Medium,Small,3.69,Espresso
Wednesday,Afternoon,Sunny,Relaxed,On a Date,Office,6.5,High,Iced,Almond Milk,Low,Medium,Medium,5.96,Frappuccino
Tuesday,Afternoon,Cloudy,Relaxed,Alone,On-the-Go,7.0,High,Hot,None (Black),Low,Light,Medium,6.4,Espresso
Saturday,Evening,Sunny,Energetic,With Friends,Cafe,5.6,High,Hot,Whole Milk,Medium,Medium,Medium,3.7,Latte
Monday,Morning,Cloudy,Energetic,Alone,Home,6.8,High,Iced,Whole Milk,None,Strong,Large,3.78,Cappuccino
Sunday,Morning,Rainy,Tired,Alone,Office,6.3,Low,Hot,Whole Milk,None,Strong,Medium,4.04,Americano
Thursday,Morning,Rainy,Relaxed,With Friends,Cafe,6.4,Low,Iced,Whole Milk,None,Medium,Medium,5.49,Flat White
